City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Busselton,AU,2020-01-05 06:27:30,-33.64,115.35,89.01,10,32,10.07
70,Lebu,ET,2020-01-05 06:27:30,8.96,38.73,60.8,63,20,4.7
71,Gravdal,NO,2020-01-05 06:27:30,59.79,5.78,39.99,93,100,20.8
72,Raudeberg,NO,2020-01-05 06:27:31,61.99,5.14,41.0,93,100,19.46
73,Naryan-Mar,RU,2020-01-05 06:27:31,67.67,53.09,21.78,89,100,19.73
74,Ponta Do Sol,BR,2020-01-05 06:27:31,-20.63,-46.0,66.27,93,84,2.51
75,Rock Springs,US,2020-01-05 06:26:09,41.59,-109.2,24.8,68,1,9.17
76,Mandera,ET,2020-01-05 06:27:32,3.94,41.86,83.77,50,27,8.3
77,Barrow,AR,2020-01-05 06:27:32,-38.31,-60.23,62.46,92,88,6.71
78,Berekua,DM,2020-01-05 06:27:32,15.23,-61.32,78.55,77,0,17.83
79,Fortuna Foothills,US,2020-01-05 06:27:32,32.66,-114.41,60.01,33,1,5.82
80,Nuuk,GL,2020-01-05 06:25:57,64.17,-51.74,21.2,85,100,6.93
81,Nanchang,CN,2020-01-05 06:27:33,28.68,115.89,62.62,71,78,5.66
82,Varzelandia,BR,2020-01-05 06:25:36,-15.7,-44.03,68.16,99,100,6.08
83,Nome,US,2020-01-05 06:27:33,30.04,-94.42,48.99,93,1,4.36
84,Asyut,EG,2020-01-05 06:26:57,27.18,31.19,44.6,70,0,11.41
85,Manaure,CO,2020-01-05 06:27:34,11.78,-72.45,79.05,82,0,13.96
86,Salalah,OM,2020-01-05 06:27:34,17.01,54.1,78.8,65,75,14.99
87,Daru,PG,2020-01-05 06:27:34,-9.07,143.21,88.2,58,96,7.76
88,Vilyuysk,RU,2020-01-05 06:27:34,63.75,121.63,-11.69,98,97,2.15
89,Tasiilaq,GL,2020-01-05 06:25:32,65.61,-37.64,28.4,68,100,5.82
90,Najran,SA,2020-01-05 06:27:35,17.54,44.22,78.8,41,0,2.24
91,Cabedelo,BR,2020-01-05 06:27:35,-6.97,-34.84,75.2,94,20,4.7
92,Tiksi,RU,2020-01-05 06:27:35,71.64,128.87,-21.08,88,66,9.24
93,Wanxian,CN,2020-01-05 06:27:36,30.8,108.39,45.97,83,100,1.9
94,Haines Junction,CA,2020-01-05 06:27:36,60.75,-137.51,-16.19,98,36,2.86
95,Chifeng,CN,2020-01-05 06:27:36,42.27,118.96,29.66,33,63,5.86
96,Mahebourg,MU,2020-01-05 06:27:36,-20.41,57.7,78.01,94,75,6.93
97,Fortuna,US,2020-01-05 06:26:35,40.6,-124.16,45.0,100,75,2.13
98,Buique,BR,2020-01-05 06:27:37,-8.62,-37.16,70.21,79,99,4.5
99,Waddan,LY,2020-01-05 06:27:37,29.16,16.14,43.66,70,0,4.88
100,Geraldton,CA,2020-01-05 06:27:37,49.72,-86.95,14.0,85,90,1.92
101,Esperance,AU,2020-01-05 06:27:37,-33.86,121.89,87.8,15,0,11.41
102,Lyuban,BY,2020-01-05 06:27:38,52.8,28.0,30.4,93,100,6.15
103,Prieska,ZA,2020-01-05 06:27:38,-29.67,22.74,73.72,24,0,4.61
104,Hami,CN,2020-01-05 06:27:38,42.84,93.51,26.06,46,0,3.6
105,Cape Town,ZA,2020-01-05 06:27:38,-33.93,18.42,70.0,82,40,11.41
106,Maceio,BR,2020-01-05 06:24:52,-9.67,-35.74,75.2,88,20,3.36
107,Sao Joao Da Barra,BR,2020-01-05 06:25:58,-21.64,-41.05,73.15,96,100,2.26
108,Billings,US,2020-01-05 06:27:39,45.79,-108.5,37.0,31,1,24.16
109,Ballina,IE,2020-01-05 06:27:39,54.11,-9.15,50.0,100,90,12.75
110,Nelson Bay,AU,2020-01-05 06:27:39,-32.72,152.14,75.2,69,90,24.16
111,Puerto Escondido,MX,2020-01-05 06:27:40,15.86,-97.07,75.2,78,40,5.82
112,Laguna,BZ,2020-01-05 06:27:40,16.17,-88.94,71.6,88,90,9.17
113,Faanui,PF,2020-01-05 06:27:40,-16.48,-151.75,81.32,78,83,11.07
114,Tura,RU,2020-01-05 06:27:40,64.27,100.22,4.91,90,100,6.33
115,Krasnogorskoye,RU,2020-01-05 06:27:41,57.7,52.5,26.04,94,100,8.19
116,Coihaique,CL,2020-01-05 06:27:41,-45.58,-72.07,50.0,71,79,3.36
117,Roma,IT,2020-01-05 06:22:50,41.89,12.48,46.4,93,0,8.05
118,Port Hardy,CA,2020-01-05 06:26:26,50.7,-127.42,41.0,86,75,20.8
119,Monrovia,LR,2020-01-05 06:25:10,6.33,-10.8,66.2,93,20,5.82
120,Luderitz,NA,2020-01-05 06:27:42,-26.65,15.16,61.39,85,0,3.02
121,Rovaniemi,FI,2020-01-05 06:27:42,66.5,25.72,14.0,78,0,5.82
122,Charleston,US,2020-01-05 06:23:25,32.79,-79.94,50.0,49,1,19.46
123,Bredasdorp,ZA,2020-01-05 06:27:42,-34.53,20.04,73.4,56,99,8.05
124,Portland,US,2020-01-05 06:26:04,43.66,-70.25,34.0,86,90,10.29
